medal;country;athlete_name;games;sport;event;sex
3;Afghanistan;Rohullah NIKPAI;China;Taekwondo;- 58 kg;Men's
3;Afghanistan;Rohullah NIKPAI;Great Britain;Taekwondo;58 - 68 kg;Men's
3;Algeria;Mohamed ZAOUI;United States;Boxing;71 - 75kg (middleweight);Men's
3;Algeria;Mustapha MOUSSA;United States;Boxing;75 - 81kg (light-heavyweight);Men's
1;Algeria;Hassiba BOULMERKA;Spain;Athletics;1500m;Women's
3;Algeria;Hocine SOLTANI;Spain;Boxing;54 - 57kg (featherweight);Men's
1;Algeria;Морсели;United States;Athletics;1500m;Men's
1;Algeria;Солтани;United States;Boxing;57 - 60kg (lightweight);Men's
3;Algeria;Бахари;United States;Boxing;71 - 75kg (middleweight);Men's
1;Algeria;Нурия Мерах-Бенида;Australia;Athletics;1500m;Women's
2;Algeria;Али Саид-Сиф;Australia;Athletics;5000m;Men's
3;Algeria;Джабир Саид-Герни;Australia;Athletics;800m;Men's
3;Algeria;Абдерахман Хаммад;Australia;Athletics;high jump;Men's
3;Algeria;Мохамед Аллалу;Australia;Boxing;60 - 63.5kg (light-welterweight);Men's
2;Algeria;Amar BENIKHLEF;China;Judo;81 - 90kg (middleweight);Men's
3;Algeria;Soraya HADDAD;China;Judo;48 - 52kg (half-lightweight);Women's
1;Algeria;Taoufik MAKHLOUFI;Great Britain;Athletics;1500m;Men's
2;Algeria;MAKHLOUFI Taoufik;Brazil;Athletics;800m;Men's
2;Algeria;MAKHLOUFI Taoufik;Brazil;Athletics;1500m;Men's
1;Argentina;Guillermo NAYLOR/Arturo KENNY/Juan NELSON/Enrique PADILLA/Juan MILES/A. PENA;France;Polo;polo;Men's
2;Argentina;Luis BRUNETTO;France;Athletics;triple jump;Men's
2;Argentina;Alfredo COPELLO;France;Boxing;57.15 - 61.24kg (lightweight);Men's
2;Argentina;Héctor MÉNDEZ;France;Boxing;61.24 - 66.68kg (welterweight);Men's
3;Argentina;Pedro QUARTUCCI;France;Boxing;53.52 - 57.15kg (featherweight);Men's
3;Argentina;Alfredo PORZIO;France;Boxing;66.68 - 72.57kg (middleweight);Men's
1;Argentina;Victor AVENDANO;Netherlands;Boxing;72.57 - 79.38kg (light-heavyweight);Men's
1;Argentina;Arturo RODRIGUEZ JURADO;Netherlands;Boxing;+ 79.38kg (heavyweight);Men's
1;Argentina;Alberto ZORRILLA;Netherlands;Swimming;400m freestyle;Men's
2;Argentina;Victor PERALTA;Netherlands;Boxing;53.52 - 57.15kg (featherweight);Men's
2;Argentina;Raúl LANDINI;Netherlands;Boxing;61.24 - 66.68kg (welterweight);Men's
